Country,2005 Sales,2006 Sales,2007 Sales,2008 Sales,2009 Sales,2010 Sales,2011 Sales,2012 Sales,2013 Sales,2014 Sales,2015 Sales,2016 Sales,2017 Sales,2018 Sales,2019 Sales,2020 Sales,2021 Sales,2022 Sales,Total Sales,Average Sales,Growth 2005-2006,Growth 2006-2007,Growth 2007-2008,Growth 2008-2009,Growth 2009-2010,Growth 2010-2011,Growth 2011-2012,Growth 2012-2013,Growth 2013-2014,Growth 2014-2015,Growth 2015-2016,Growth 2016-2017,Growth 2017-2018,Growth 2018-2019,Growth 2019-2020,Growth 2020-2021,Growth 2021-2022
Australia,608804.0,598394.0,637019.0,596765.0,540562.0,592122.0,559314.0,576855.0,566454.0,531596.0,924154.0,927274.0,915658.0,873713.0,799263.0,676804.0,753256.0,777688.0,12455695.0,691983.0555555555,-1.7099099217482145,6.454777287205419,-6.319120779756962,-9.417945087262156,9.538221332613094,-5.540750048131972,3.1361632285263736,-1.8030527602257065,-6.153721220081419,73.84517565971151,0.337606069984007,-1.2527041629550704,-4.580858792256497,-8.521104756367366,-15.321489922591185,11.296032529358573,3.243518803700203
Russia,1520225.0,1911240.0,2514920.0,2897459.0,1465742.0,1912794.0,2653688.0,2755384.0,2649181.0,2333067.0,1282740.0,1239680.0,1448700.0,1606676.0,1567809.0,1433956.0,1483444.0,629923.0,33306628.0,1850368.2222222222,25.72086368794093,31.585776773194368,15.21078205270943,-49.41284760198505,30.50004707513328,38.73360121372192,3.832251568383321,-3.8543810953391615,-11.932518012170554,-45.0191529004525,-3.356876685844364,16.860802787816212,10.90467315524263,-2.4190938309901933,-8.537583340827869,3.451151918189958,-57.536448966054664
Turkey,438597.0,373219.0,357465.0,305998.0,369819.0,509784.0,593519.0,556280.0,664655.0,587331.0,725596.0,756938.0,722759.0,486321.0,387256.0,610109.0,561853.0,592660.0,9600159.0,533342.1666666666,-14.90616670884662,-4.221114144778267,-14.397773208565873,20.8566722658318,37.846892669116514,16.425584168981374,-6.274272601214115,19.482095347666643,-11.633704703944153,23.541239948172326,4.31948356936918,-4.515429268975795,-32.71325573254708,-20.370290404897176,57.54668746255707,-7.909406351979728,5.4831067912781455
Malaysia,410892.0,374169.0,442885.0,497459.0,486342.0,543594.0,535113.0,552189.0,576657.0,588348.0,591275.0,514545.0,514680.0,533201.0,550182.0,480965.0,452663.0,544838.0,9189997.0,510555.3888888889,-8.937385006279023,18.364963425617837,12.322386172482698,-2.2347570352531565,11.771962939659746,-1.5601717458250093,3.1911016925397067,4.431091528444065,2.027375025361697,0.4974946800193083,-12.977041139909517,0.02623677229396846,3.5985466697753945,3.1847277105631835,-12.580746007684729,-5.884419864231285,20.362830626757656
Saudi Arabia,407000.0,399300.0,403600.0,400000.0,390000.0,450000.0,460000.0,540000.0,570000.0,632700.0,672300.0,549400.0,424216.0,340218.0,460373.0,387709.0,475837.0,519485.0,8482138.0,471229.8888888889,-1.891891891891892,1.076884547958928,-0.8919722497522299,-2.5,15.384615384615385,2.2222222222222223,17.391304347826086,5.555555555555555,11.0,6.258890469416785,-18.280529525509444,-22.785584273753184,-19.800761876025422,35.31706141356425,-15.783723198363067,22.73044989928013,9.172889035531075
Mexico,714010.0,680946.0,641394.0,589045.0,439120.0,503748.0,592101.0,649333.0,698217.0,745250.0,892194.0,1065912.0,984262.0,883043.0,764175.0,532097.0,520112.0,486962.0,12381921.0,687884.5,-4.63074746852285,-5.808390092606462,-8.161753929721826,-25.452215026016688,14.717617052286391,17.539126706210247,9.66591848350197,7.52834062029806,6.736157956623801,19.717410265011743,19.470877410070006,-7.660107025720697,-10.283745588064965,-13.461179127177273,-30.369745149998362,-2.2524088653008754,-6.373627218752883
Poland,207007.0,224728.0,277427.0,319190.0,276220.0,315855.0,277427.0,272719.0,289913.0,327709.0,354975.0,416123.0,486352.0,531889.0,555598.0,428347.0,446647.0,419749.0,6427875.0,357104.1666666667,8.560580077002227,23.45012637499555,15.05368979947878,-13.462201196779347,14.349069582217073,-12.166342150670403,-1.6970230006452147,6.304657907956542,13.037014552641654,8.320186506931455,17.226001831114868,16.876981084919603,9.362971674836333,4.457508991537708,-22.903430177934407,4.272237228228516,-6.022205455314824
Taiwan,325840.0,218610.0,213327.0,141161.0,187262.0,208300.0,235205.0,211578.0,211824.0,235480.0,212236.0,206092.0,399885.0,389328.0,159492.0,191337.0,382000.0,375841.0,4504798.0,250266.55555555556,-32.90878958998281,-2.4166323589954715,-33.82881679299854,32.65845382223135,11.234527026305392,12.916466634661546,-10.045279649667311,0.1162691773246746,11.167761915552536,-9.870901987429932,-2.8948905934902656,94.03227684723328,-2.640009002588244,-59.03402786339539,19.96651869686254,99.64774194222758,-1.6123036649214657
Belgium,480088.0,526141.0,524795.0,535947.0,476194.0,547340.0,572211.0,486737.0,486065.0,482939.0,501066.0,539519.0,546558.0,549632.0,550008.0,424492.0,383123.0,366333.0,8979188.0,498843.77777777775,9.592616353668495,-0.25582495946903966,2.1250202460008194,-11.149050185932564,14.940549439934145,4.543976321847481,-14.937496832462152,-0.13806223895039826,-0.643123862034913,3.753476111889907,7.674238523467966,1.3046806507277777,0.5624288730564735,0.06840940847694457,-22.820758970778606,-9.745531128972985,-4.382404606353573
South Africa,419868.0,481558.0,434653.0,329262.0,258129.0,337130.0,396292.0,440002.0,450561.0,439264.0,412670.0,361289.0,361289.0,365242.0,355378.0,247571.0,304340.0,363696.0,6758194.0,375455.22222222225,14.692712947878858,-9.740259740259742,-24.247158077823,-21.603768427574394,30.60524001565109,17.548720078308072,11.029745743037962,2.399761819264458,-2.507318653855971,-6.054217964595323,-12.45086873288584,0.0,1.0941379338977937,-2.700675168792198,-30.33586772394464,22.93039168561746,19.503187224814354
