Country,2005 Sales,2006 Sales,2007 Sales,2008 Sales,2009 Sales,2010 Sales,2011 Sales,2012 Sales,2013 Sales,2014 Sales,2015 Sales,2016 Sales,2017 Sales,2018 Sales,2019 Sales,2020 Sales,2021 Sales,2022 Sales,Total Sales,Average Sales
New Zealand,77825.0,76804.0,77454.0,73397.0,54404.0,62029.0,63471.0,76871.0,82433.0,90131.0,94964.0,102514.0,107951.0,107674.0,103610.0,80433.0,111299.0,116334.0,1559598.0,86644.33333333333
Hungary,198982.0,187676.0,171661.0,153278.0,60189.0,43476.0,45094.0,53059.0,56139.0,67476.0,77171.0,96552.0,116265.0,136601.0,157900.0,128021.0,121920.0,111524.0,1982984.0,110165.77777777778
Greece,269728.0,267669.0,279745.0,267295.0,219730.0,141501.0,97680.0,58482.0,58694.0,71218.0,75805.0,78873.0,88083.0,103431.0,114109.0,80977.0,100916.0,105283.0,2479219.0,137734.38888888888
Ireland,171742.0,178484.0,186325.0,151607.0,57453.0,88446.0,89911.0,79498.0,74367.0,96284.0,124804.0,146600.0,131332.0,125557.0,117109.0,88324.0,104669.0,105253.0,2117765.0,117653.61111111111
Ecuador,54342.0,58900.0,58334.0,69556.0,60596.0,90250.0,94297.0,80644.0,74169.0,78495.0,52101.0,44816.0,94635.0,105046.0,97572.0,61746.0,86740.0,100069.0,1362308.0,75683.77777777778
Kazakhstan,39800.0,39000.0,39400.0,39000.0,40000.0,24000.0,38348.0,86959.0,153664.0,151424.0,81500.0,86707.0,41915.0,52836.0,77324.0,100595.0,0.0,97169.0,1189641.0,66091.16666666667
Kuwait,50000.0,65000.0,70000.0,80000.0,90000.0,90000.0,95000.0,116500.0,125000.0,126300.0,124200.0,95400.0,91251.0,91223.0,98454.0,72648.0,83460.0,93465.0,1657901.0,92105.61111111111
Finland,148161.0,145700.0,125608.0,139669.0,90574.0,111968.0,126123.0,111251.0,103455.0,106237.0,108819.0,118991.0,120480.0,120480.0,114202.0,96392.0,98481.0,81674.0,2068265.0,114903.61111111111
Slovakia,56916.0,59084.0,59700.0,70040.0,74717.0,64033.0,68203.0,69268.0,65998.0,72237.0,77968.0,88165.0,96105.0,98080.0,101568.0,76305.0,75700.0,78841.0,1352928.0,75162.66666666667
Croatia,70541.0,78775.0,82664.0,88265.0,44918.0,38587.0,41561.0,31360.0,27802.0,33962.0,35715.0,44106.0,50769.0,60041.0,62977.0,36057.0,44929.0,42955.0,915984.0,50888.0
Ukraine,258395.0,361549.0,500357.0,599985.0,170085.0,169540.0,207453.0,237602.0,213322.0,97020.0,46546.0,65562.0,82330.0,81877.0,88437.0,85450.0,103262.0,37891.0,3406663.0,189259.05555555556
Bulgaria,25956.0,36455.0,43521.0,45143.0,22869.0,16257.0,19250.0,19419.0,19352.0,23500.0,23500.0,26370.0,33265.0,37506.0,35371.0,22368.0,24537.0,28684.0,503323.0,27962.38888888889
Albania,800.0,800.0,1600.0,1600.0,1000.0,1600.0,2100.0,2300.0,2300.0,2500.0,2500.0,2500.0,1370.0,2175.0,3005.0,0.0,0.0,0.0,28150.0,1563.888888888889
Algeria,71046.0,81803.0,97239.0,111753.0,131259.0,97765.0,165415.0,188990.0,222710.0,178200.0,177517.0,85300.0,97983.0,123698.0,118689.0,0.0,0.0,0.0,1949367.0,108298.16666666667
Angola,6000.0,8000.0,3500.0,3500.0,10000.0,20000.0,10000.0,17000.0,20000.0,24000.0,14700.0,5600.0,2875.0,1825.0,2080.0,0.0,0.0,0.0,149080.0,8282.222222222223
Armenia,11000.0,12000.0,6000.0,4000.0,4000.0,4000.0,4000.0,5000.0,5000.0,5200.0,2300.0,2500.0,2200.0,1200.0,970.0,0.0,0.0,0.0,69370.0,3853.8888888888887
Azerbaijan,12100.0,13000.0,15000.0,15000.0,10000.0,13000.0,10000.0,14000.0,21000.0,23300.0,9100.0,4300.0,1700.0,3200.0,6046.0,0.0,0.0,0.0,170746.0,9485.888888888889
Bahamas,2500.0,2000.0,2000.0,2000.0,3500.0,2000.0,2000.0,2500.0,2000.0,1600.0,2800.0,2700.0,1332.0,1332.0,1332.0,0.0,0.0,0.0,31596.0,1755.3333333333333
Bahrain,18000.0,18000.0,20000.0,30000.0,28000.0,29000.0,26000.0,40000.0,43500.0,49600.0,47700.0,39200.0,32439.0,31855.0,26372.0,0.0,0.0,0.0,479666.0,26648.11111111111
Bangladesh,6500.0,9000.0,12000.0,17000.0,21500.0,20700.0,20800.0,24600.0,24000.0,29300.0,28500.0,15400.0,2500.0,2750.0,3000.0,0.0,0.0,0.0,237550.0,13197.222222222223
Belarus,9000.0,13000.0,20000.0,22000.0,12000.0,15000.0,15000.0,20000.0,19600.0,22300.0,22400.0,20200.0,30659.0,48315.0,56592.0,0.0,0.0,0.0,346066.0,19225.88888888889
Belize,100.0,200.0,100.0,200.0,150.0,100.0,100.0,200.0,200.0,200.0,400.0,400.0,374.0,348.0,348.0,0.0,0.0,0.0,3420.0,190.0
Bolivia,1000.0,1500.0,1500.0,1500.0,1000.0,8000.0,9500.0,14000.0,13900.0,18500.0,12800.0,16900.0,21807.0,22612.0,20319.0,0.0,0.0,0.0,164838.0,9157.666666666666
Bosnia & Herz.,10000.0,10000.0,15000.0,13000.0,12000.0,10000.0,10000.0,10000.0,9800.0,8900.0,8700.0,9400.0,21807.0,22612.0,10038.0,0.0,0.0,0.0,181257.0,10069.833333333334
Botswana,12905.0,13073.0,16538.0,20037.0,19354.0,20972.0,25204.0,31471.0,31122.0,26500.0,3400.0,3500.0,3500.0,3531.0,1050.0,0.0,0.0,0.0,232157.0,12897.611111111111
Brunei,15000.0,15000.0,10000.0,15000.0,10000.0,10000.0,15000.0,15000.0,14700.0,18100.0,13900.0,13400.0,12052.0,12200.0,10949.0,0.0,0.0,0.0,200301.0,11127.833333333334
Burkina Faso,500.0,500.0,500.0,600.0,550.0,700.0,500.0,500.0,700.0,700.0,1100.0,1800.0,376.0,537.0,537.0,0.0,0.0,0.0,10100.0,561.1111111111111
Burma,1000.0,1000.0,1000.0,1200.0,1500.0,1800.0,1800.0,2100.0,2000.0,1000.0,1000.0,1300.0,2113.0,4531.0,7167.0,0.0,0.0,0.0,30511.0,1695.0555555555557
Burundi,500.0,500.0,600.0,700.0,700.0,300.0,200.0,210.0,210.0,200.0,200.0,400.0,14.0,10.0,10.0,0.0,0.0,0.0,4754.0,264.1111111111111
Cambodia,1000.0,1000.0,1500.0,1500.0,1500.0,1500.0,2000.0,2000.0,2000.0,2400.0,1000.0,800.0,838.0,811.0,1275.0,0.0,0.0,0.0,21124.0,1173.5555555555557
Cameroon,1300.0,1400.0,1400.0,1400.0,1400.0,1400.0,1400.0,1900.0,2400.0,2300.0,1700.0,1900.0,1538.0,1529.0,1529.0,0.0,0.0,0.0,24496.0,1360.888888888889
Costa Rica,13000.0,15000.0,13000.0,15000.0,12000.0,20000.0,30000.0,30000.0,29800.0,35200.0,41800.0,48300.0,41330.0,33352.0,30825.0,0.0,0.0,0.0,408607.0,22700.38888888889
Cuba,2000.0,2000.0,3000.0,3000.0,1500.0,2000.0,3000.0,4000.0,4000.0,4000.0,4000.0,5900.0,4386.0,4470.0,2280.0,0.0,0.0,0.0,49536.0,2752.0
Cyprus,17687.0,18639.0,22878.0,22241.0,14981.0,14088.0,13480.0,10123.0,7000.0,8276.0,10344.0,12643.0,13127.0,13135.0,12438.0,0.0,0.0,0.0,211080.0,11726.666666666666
Domin. Rep.,16000.0,16000.0,18000.0,20000.0,8000.0,15000.0,15000.0,15000.0,14900.0,17400.0,5061.0,4204.0,24.0,108.0,12606.0,0.0,0.0,0.0,177303.0,9850.166666666666
Dr Congo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2000.0,1700.0,245.0,309.0,346.0,0.0,0.0,0.0,4600.0,255.55555555555554
El Salvador,4000.0,6000.0,8000.0,10000.0,2000.0,3000.0,3000.0,5000.0,5000.0,5000.0,5400.0,4600.0,7036.0,7501.0,6400.0,0.0,0.0,0.0,81937.0,4552.055555555556
Estonia,19640.0,25363.0,30912.0,24579.0,9946.0,10295.0,17070.0,19424.0,19694.0,20969.0,20347.0,22429.0,25618.0,26297.0,32132.0,0.0,0.0,0.0,324715.0,18039.722222222223
